codice,descrizione,categoria,prezzo
SCHIUMA,SCHIUMA PER PISTOLA,SPRAY,
cod.EC 750,SCHIUMA POLIURETANICA,SPRAY,
cod. 038-16,PULITORE SCHIUMA POLIURETANICA,SPRAY,
cod. STU/500,STUCCO IN PASTA 500GR,SPRAY,
cod. STU/1000,STUCCO IN PASTA 1000GR,SPRAY,
Cod. PF-032,COLLA VINILICA 100GR,SPRAY,
Cod. PF-033,COLLA VINILICA 250GR,SPRAY,
Cod. 038-30,SODA CAUSTICA A SCAGLIE,SPRAY,
Cod. 039-20,SPRAY ANTIMUFFA,SPRAY,
cod. 40001,BLUE SKY,SPRAY,
cod. 40075,TOP BLUE,SPRAY,
cod. 40028,SKELETON,SPRAY,
cod. 651101,THE BEST,SPRAY,
cod. 651105,MAGNUM,SPRAY,
cod. 59059,JAPAN,SPRAY,
cod. 651300,PROFI,SPRAY,
Cod. 035-18,"FILM ESTENSIBILE TRASPARENTE h500X1,8",SPRAY,
Cod. 035-14,"FILM ESTENSIBILE TRASPARENTE h500X2,2",SPRAY,
Cod. 035-34,"FILM ESTENSIBILE BIANCA h500X1,8",SPRAY,
Cod. 035-35,"FILM ESTENSIBILE BIANCA h500X2,2",SPRAY,
Cod. 035-36,"FILM ESTENSIBILE NERA h500X1,8",SPRAY,
Cod. 035-37,"FILM ESTENSIBILE NERA h500X2,2",SPRAY,
Cod. 035-07,Nastro adesivo polipropilene TRASPARENTE 50x50y,SPRAY,
Cod. 035-02,Nastro adesivo polipropilene TRASPARENTE 50x66y,SPRAY,
Cod. 035-01,Nastro adesivo polipropilene AVANA 50x50y,SPRAY,
Cod. 035-08,Nastro adesivo polipropilene AVANA 50x66y,SPRAY,
Cod. 035-03,NASTRO MASK MM 25,SPRAY,
Cod. 035-09,NASTRO MASK MM 38,SPRAY,
Cod. 035-04,NASTRO MASK MM 50,SPRAY,
cod. 627312,NASTRO ADESIVO TELATO,SPRAY,
cod.039-06,DILUENTE SINTETICO,SPRAY,
cod.039-04,DILUENTE NITRO,SPRAY,
cod.039-02,ACQUARAGIA,SPRAY,
Cod. 26 - n2,OVALINO N2,ACCESSORI,
Cod. 26 -n4,OVALINO N4,ACCESSORI,
Cod. 26 -n6,OVALINO N6,ACCESSORI,
Cod. 26 -n8,OVALINO N8,ACCESSORI,
Cod. 26 -n10,OVALINO N10,ACCESSORI,
Cod. 26 -n12,OVALINO N12,ACCESSORI,
Cod. 26 -n14,OVALINO N14,ACCESSORI,
Cod. 26 -n16,OVALINO N16,ACCESSORI,
Cod. 100 mm30,PENNELLO RADIATORE MM30,ACCESSORI,
Cod. 100 mm40,PENNELLO RADIATORE MM40,ACCESSORI,
Cod. 100 mm50,PENNELLO RADIATORE MM50,ACCESSORI,
Cod. 70 4x14,PLAFONCINO 4X14,ACCESSORI,
Cod. 70 5x15,PLAFONCINO 5X15,ACCESSORI,
Cod. 24 mm20,PENNELLESSA TRIPLA MANICO LEGNO mm20,ACCESSORI,
